> Task :compileJava
> Task :compileScala NO-SOURCE
> Task :processResources NO-SOURCE
> Task :classes

> Task :runJavaLocal
[server] -------------------- Match Starting --------------------
[server] immortal_chariot vs. teacher08a on streetsofnewyork
[B: #10072@72] Can sense kingLoc [55, 28] ? false at distSquared 970
[B: #11028@72] Sensed 0 robots
[B: #12917@72] Sensed 0 robots
[B: #11118@72] Sensed 0 robots
[B: #13095@72] Sensed 1 robots
[B: #10120@73] Sensed 0 robots
[B: #10819@73] Sensed 0 robots
[B: #13990@73] Going straight to cheese mine at [37, 33]
[B: #11456@73] Sensed 0 robots
[B: #11061@73] Can sense kingLoc [55, 28] ? false at distSquared 585
[B: #12806@73] Sensed 0 robots
[B: #10072@73] Can sense kingLoc [55, 28] ? false at distSquared 970
[B: #11028@73] Sensed 0 robots
[B: #12917@73] Sensed 0 robots
[B: #11118@73] Sensed 0 robots
[B: #13095@73] Sensed 1 robots
[B: #10120@74] Sensed 0 robots
[B: #10819@74] Sensed 0 robots
[B: #13990@74] Can sense kingLoc [53, 30] ? false at distSquared 197
[B: #11456@74] Sensed 0 robots
[B: #11061@74] Can sense kingLoc [55, 28] ? false at distSquared 538
[B: #12806@74] Sensed 0 robots
[B: #10072@74] Can sense kingLoc [55, 28] ? false at distSquared 909
[B: #11028@74] Sensed 0 robots
[B: #12917@74] Sensed 0 robots
[B: #11118@74] Sensed 0 robots
[B: #13095@74] Sensed 1 robots
[B: #10120@75] Sensed 0 robots
[B: #10819@75] Sensed 0 robots
[B: #13990@75] Can sense kingLoc [53, 30] ? false at distSquared 197
[B: #11456@75] Sensed 0 robots
[B: #11061@75] Can sense kingLoc [55, 28] ? false at distSquared 493
[B: #12806@75] Sensed 0 robots
[B: #10072@75] Can sense kingLoc [55, 28] ? false at distSquared 850
[B: #11028@75] Sensed 0 robots
[B: #12917@75] Sensed 0 robots
[B: #11118@75] Sensed 0 robots
[B: #13095@75] Sensed 0 robots
[B: #10120@76] Sensed 0 robots
[B: #10819@76] Sensed 0 robots
[B: #13990@76] Can sense kingLoc [53, 30] ? false at distSquared 170
[B: #11456@76] Sensed 0 robots
[B: #11061@76] Can sense kingLoc [55, 28] ? false at distSquared 450
[B: #12806@76] Sensed 1 robots
[B: #10072@76] Can sense kingLoc [55, 28] ? false at distSquared 850
[B: #11028@76] Sensed 0 robots
[B: #10105@76] Found a cheese mine at [37, 33]
[B: #10105@76] Going straight to cheese mine at [37, 33]
[B: #12917@76] Sensed 0 robots
[B: #11118@76] Sensed 0 robots
[B: #13095@76] Sensed 0 robots
[B: #10120@77] Sensed 0 robots
[B: #10819@77] Sensed 0 robots
[B: #13990@77] Can sense kingLoc [53, 30] ? false at distSquared 145
[B: #11456@77] Sensed 0 robots
[B: #11061@77] Can sense kingLoc [55, 28] ? false at distSquared 450
[B: #12806@77] Sensed 1 robots
[B: #10072@77] Can sense kingLoc [55, 28] ? false at distSquared 793
[B: #11028@77] Sensed 0 robots
[B: #10105@77] Found a cheese mine at [37, 33]
[B: #10105@77] Going straight to cheese mine at [37, 33]
[B: #12917@77] Sensed 0 robots
[B: #11118@77] Sensed 0 robots
[B: #13095@77] Sensed 0 robots
[B: #10120@78] Sensed 0 robots
[B: #10819@78] Sensed 0 robots
[B: #13990@78] Can sense kingLoc [53, 30] ? false at distSquared 122
[B: #11456@78] Sensed 0 robots
[B: #11061@78] Can sense kingLoc [55, 28] ? false at distSquared 409
[B: #12806@78] Sensed 1 robots
[B: #10072@78] Can sense kingLoc [55, 28] ? false at distSquared 738
[B: #11028@78] Sensed 1 robots
[B: #11028@78] Received 0 messages
[B: #10105@78] Found a cheese mine at [37, 33]
[B: #10105@78] Going straight to cheese mine at [37, 33]
[B: #12917@78] Sensed 0 robots
[B: #11406@78] Can sense kingLoc [55, 28] ? false at distSquared 245
[B: #11118@78] Sensed 1 robots
[B: #11118@78] Received 0 messages
[B: #13095@78] Sensed 0 robots
[B: #10120@79] Sensed 0 robots
[B: #10819@79] Sensed 0 robots
[B: #13990@79] Can sense kingLoc [53, 30] ? false at distSquared 122
[B: #11456@79] Sensed 0 robots
[B: #11061@79] Can sense kingLoc [55, 28] ? false at distSquared 370
[B: #12806@79] Sensed 1 robots
[B: #10072@79] Can sense kingLoc [55, 28] ? false at distSquared 685
[B: #11028@79] Sensed 1 robots
[B: #11028@79] Received 0 messages
[B: #10105@79] Found a cheese mine at [37, 33]
[B: #10105@79] Going straight to cheese mine at [37, 33]
[B: #12917@79] Sensed 0 robots
[B: #11406@79] Can sense kingLoc [55, 28] ? false at distSquared 205
[B: #11118@79] Sensed 0 robots
[B: #13095@79] Sensed 0 robots
[B: #10120@80] Sensed 0 robots
[B: #10819@80] Sensed 0 robots
[B: #13990@80] Can sense kingLoc [53, 30] ? false at distSquared 101
[B: #11456@80] Sensed 0 robots
[B: #11061@80] Can sense kingLoc [55, 28] ? false at distSquared 370
[B: #12806@80] Sensed 1 robots
[B: #10072@80] Can sense kingLoc [55, 28] ? false at distSquared 685
[B: #11028@80] Sensed 1 robots
[B: #11028@80] Received 0 messages
[B: #10105@80] Found a cheese mine at [37, 33]
[B: #10105@80] Going straight to cheese mine at [37, 33]
